Model info
==========
Mesh file: Sculpture-216K.obj (VN 110947, FN 221946)
Texture files:
  Sculpture-216K01b.jpg
  Sculpture-216K02b.jpg

Parameterization info
=====================
Number of charts: 1748
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0        1  1.46714e-06            0            *        3
     1        1  3.49533e-07            0            *        2
     2        1  2.07575e-07            0            *        2
     3     6176    0.0207576    0.0335709       385911       11
     4     5207    0.0198237    0.0301465       346546       10
     5     4539    0.0319154    0.0123514       141984       68
     6      224  0.000727191  0.000151019      1736.02       90
     7     9734    0.0452454    0.0161224       185334       56
     8     5455    0.0170236    0.0249635       286966        7
     9        1  6.09567e-07  4.52051e-08     0.519651        3
    10        1  5.16897e-07  2.41172e-08     0.277237        3
    11        1  1.18283e-06  5.50565e-08     0.632897        3
    12        1  8.02166e-07  4.46875e-08     0.513701        3
    13        1  1.25451e-06  6.89012e-08     0.792048        3
    14        1  2.85928e-07  1.37247e-08     0.157771        3
    15        1  3.36837e-07  1.50886e-08     0.173449        3
    16        1  2.40694e-07  8.90201e-09     0.102332        3
    17        1  7.59746e-07  3.64613e-08     0.419138        3
    18        1  7.98254e-07  3.95396e-08     0.454525        3
    19        1  1.38857e-07  6.59361e-09    0.0757963        3
    20        1  7.30807e-07  4.81973e-08     0.554047        3
    21        1  9.67712e-07  5.36189e-08     0.616372        3
    22        1  4.80909e-07   3.1464e-08     0.361691        3
    23        1  3.51087e-07  1.79184e-08     0.205979        3
    24        1  3.95499e-08  1.64307e-08     0.188877        2
    25        1  1.33765e-08  5.15709e-09    0.0592829        2
    26        1  1.72353e-10            0            0        3
    27        1  6.60877e-07  2.35273e-07      2.70456        3
    28        1  3.10073e-08  9.86473e-09     0.113399        3
    29        1  1.43051e-07  5.68493e-08     0.653506        3
    30        1   5.3771e-08   2.0764e-08     0.238691        2
    31        1  5.21231e-08  2.26628e-08     0.260519        3
    32        1  1.43263e-07  5.40496e-08     0.621322        2
    33        1  4.51118e-08  1.49245e-08     0.171563        3
    34        1  2.83133e-08  1.13773e-08     0.130787        3
    35        1  8.64593e-09  2.14936e-09    0.0247078        3
    36        1  3.64139e-08  1.41233e-08     0.162353        3
    37        1  5.76818e-08  2.51683e-08      0.28932        3
    38        1   9.4556e-09  4.14375e-09    0.0476341        3
    39        1  5.81911e-08  2.53296e-08     0.291174        3
    40        1  2.34092e-08  1.01218e-08     0.116355        3
    41        1  9.53858e-09  4.10872e-09    0.0472314        3
    42        1  4.05184e-08  1.74657e-08     0.200776        2
    43        1  1.20088e-08  5.24167e-09    0.0602552        3
    44        1  3.39596e-07  1.46006e-07       1.6784        3
    45        1  5.87304e-08  2.09499e-08     0.240828        3
    46        1  2.89079e-07  1.03403e-07      1.18866        2
    47        1  3.44616e-07  1.19842e-07      1.37764        2
    48        1   8.7189e-08  3.09147e-08     0.355377        3
    49        1  1.04393e-09  3.53671e-10    0.0040656        3
    50        1  7.98563e-08  2.60313e-08     0.299241        3
    51        1  3.02793e-08   1.2779e-08       0.1469        3
    52        1  4.92951e-07  2.09068e-07      2.40333        3
    53        1  3.24754e-09     8.04e-10   0.00924231        3
    54        1  2.01501e-07  5.48382e-08     0.630387        3
    55        1  4.56955e-10  1.11992e-10    0.0012874        3
    56        1  1.59513e-07   4.3153e-08     0.496062        3
    57        1  1.63587e-08  5.49868e-09    0.0632096        3
    58        4  1.83322e-06  6.14221e-07      7.06072        5
    59        1  1.30516e-07  5.55094e-08     0.638103        3
    60        1  4.86073e-08  2.07009e-08     0.237966        2
    61        1  2.11128e-07  7.21527e-08     0.829425        2
    62        1  2.88753e-09  9.76621e-10    0.0112267        3
    63        1  2.00232e-07  6.67809e-08     0.767674        3
    64        1  2.19514e-08  7.49103e-09    0.0861125        3
    65        1  2.00886e-07  6.79263e-08     0.780841        3
    66        1  3.65527e-07  1.54658e-07      1.77786        2
    67        1  9.40402e-09  3.99936e-09    0.0459743        3
    68        1  1.42139e-07  6.05593e-08     0.696154        2
    69        1   9.7799e-08  4.14102e-08     0.476027        3
    70        1  4.14397e-09   1.7597e-09    0.0202285        3
    71        1  4.01793e-07   8.7491e-08      1.00575        2
    72        1  1.19346e-07  2.88503e-08     0.331646        3
    73        1  4.01518e-07   1.3152e-07      1.51188        3
    74        1  1.11961e-07  3.33531e-08     0.383408        3
    75        1  3.86615e-08  1.35478e-08     0.155738        3
    76        1  4.39195e-07  1.62407e-07      1.86693        3
    77        1  2.23384e-08  7.81789e-09    0.0898699        3
    78        1  4.06172e-08  1.37707e-08       0.1583        2
    79        1    4.234e-09  9.96698e-10    0.0114575        3
    80        1  2.52013e-08  6.26182e-09    0.0719822        3
    81        1  1.97879e-07  7.83609e-08      0.90079        3
    82        1   1.3665e-07  8.06939e-08      0.92761        3
    83        1  6.35055e-08  1.62949e-08     0.187316        3
    84        1  6.42975e-10  1.56005e-10   0.00179334        3
    85        1  3.89303e-07  9.70328e-08      1.11543        3
    86        1  6.49803e-07  2.37245e-07      2.72723        3
    87        1  1.83678e-08  7.06979e-09    0.0812702        3
    88        1  4.09112e-07  1.46956e-07      1.68932        3
    89        1   1.9985e-07   5.2313e-08      0.60136        3
    90        1  6.43861e-08  1.71712e-08      0.19739        2
    91        1  3.21067e-07  6.76365e-08     0.777509        3
    92        1  1.72649e-08  7.34364e-09    0.0844182        3
    93        1  4.06227e-08  7.86353e-08     0.903946        3
    94        1  4.70176e-08  1.55548e-08     0.178808        3
    95        1  1.14567e-08  4.98175e-09    0.0572673        3
    96        1  3.20962e-09  1.40911e-09    0.0161984        3
    97        1  1.63566e-07  5.55422e-08      0.63848        2
    98        1  1.35774e-08  5.60756e-09    0.0644612        3
    99        1  1.56751e-09  5.85333e-10   0.00672864        3
   100        1  2.98843e-07  1.15785e-07        1.331        3
   101        1  5.90791e-09  2.49555e-09    0.0286874        3
   102        1  3.42906e-07  9.51924e-08      1.09428        2
   103        1  9.19483e-10  3.33745e-10   0.00383654        3
   104        1  8.83924e-09   3.8392e-09    0.0441331        3
   105        1  1.13453e-07  3.07621e-08     0.353624        3
   106        1  3.25911e-08  8.88396e-09     0.102125        3
   107        1  2.45958e-08  7.68574e-09    0.0883507        3
   108        1   5.1596e-07  8.18183e-08     0.940535        2
   109        1   1.5027e-07  2.75288e-08     0.316455        3
   110        1  3.53452e-07  2.28716e-08     0.262919        3
   111        1  7.52657e-08  1.95283e-08     0.224486        2
   112        1  4.70982e-08  9.86613e-09     0.113415        2
   113        1  2.16914e-08   9.3454e-09     0.107429        3
   114        1  1.26132e-07  5.23516e-08     0.601803        2
   115        1  1.04491e-07  1.56954e-07      1.80426        3
   116        1  2.36194e-07  5.02914e-08      0.57812        2
   117        1  2.84314e-08  7.41444e-09     0.085232        3
