Model info
==========
Mesh file: nefertiti_HQ2_textured.obj (VN 50002, FN 100000)
Texture files:
  texture.png

Parameterization info
=====================
Number of charts: 6209
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0       76     0.000169   0.00040483      140.227       11
     1        1  1.17394e-06  1.15425e-06     0.399813        2
     2     7228     0.138931    0.0223542      7743.16      245
     3       76  0.000779936  0.000422932      146.497        4
     4      729    0.0115071    0.0111787      3872.11       21
     5      156  0.000495993  0.000476251      164.966       38
     6        8  2.57685e-05  9.90339e-06      3.43038        2
     7     6309    0.0771732    0.0549472      19032.8      139
     8        2  2.83677e-05  9.91026e-06      3.43276        2
     9        9  7.47754e-05  4.37867e-05       15.167        3
    10      197   0.00063768  0.000960786      332.801       21
    11       92  0.000292034  0.000345169      119.561       14
    12        2  2.35478e-06  5.42298e-07     0.187844        2
    13        1   2.3172e-06  5.52036e-07     0.191217        2
    14    13723     0.131188     0.181446      62850.2      176
    15        3  5.62143e-06  4.33503e-07     0.150159        4
    16        2  6.18553e-06  1.39613e-06     0.483599        4
    17       25  8.44165e-05  7.41279e-05      25.6767        7
    18     6855    0.0558357    0.0702573        24336      105
    19       21  4.59833e-05  7.47801e-05      25.9027        2
    20        4  5.02786e-05  1.65319e-06      0.57264        5
    21       42  9.77125e-05  0.000117564      40.7222        9
    22       62  0.000179472  0.000330848      114.601       12
    23       14  4.11105e-05  1.03333e-05      3.57931        9
    24       16   3.4445e-05  4.18889e-05      14.5096        3
    25       16  3.40778e-05  3.38228e-05      11.7157        5
    26        6  1.21025e-05  1.35749e-05      4.70212        3
    27        1    3.083e-06  1.37698e-08   0.00476966        3
    28        2  3.40995e-06  3.28873e-06      1.13916        1
    29        1  3.41559e-06  8.80117e-07     0.304859        1
    30        1  4.20389e-06  2.93129e-07     0.101535        3
    31        5  1.48506e-05  6.90472e-06      2.39169        3
    32     8715     0.107435    0.0560237      19405.7      140
    33        3  6.19045e-06  8.05601e-06      2.79048        2
    34        1  1.02943e-06  1.01967e-07    0.0353199        2
    35        2  8.59638e-06            0            0        3
    36        1  2.99579e-06  4.13247e-08    0.0143142        2
    37        2  7.72354e-06  2.48767e-06      0.86169        2
    38        4  1.04485e-05  6.61186e-06      2.29025        1
    39        1  1.23978e-06   8.1603e-07      0.28266        1
    40        2  3.44329e-06            0            0        3
    41        2   4.1919e-06 -1.56679e-08  -0.00542713        3
    42        4  1.43617e-05  4.73163e-06      1.63896        4
    43       15   4.6945e-05  2.87628e-05      9.96298        2
    44        1  4.09889e-06  4.96255e-09   0.00171895        3
    45        2  3.16896e-06  1.30253e-06     0.451177        2
    46        1  2.66484e-06  5.07349e-08    0.0175738        3
    47        3  9.26178e-06            0            0        4
    48        2  2.45865e-06  5.77355e-08    0.0199987        3
    49      126  0.000564155   0.00020329      70.4164       21
    50        5   9.8992e-06   1.0042e-05       3.4784        2
    51        2  3.40702e-06  1.02579e-06     0.355317        2
    52       25  9.84829e-05  2.49075e-05      8.62756        6
    53        8  1.41231e-05  2.11429e-05      7.32356        2
    54        6  2.38329e-05  5.75803e-06      1.99449        4
    55        1  1.63921e-06            0            0        1
    56        1  1.77137e-06            0            0        2
    57        3  2.12929e-05  1.08869e-06     0.377105        5
    58        3   1.6344e-05  2.00822e-06     0.695615        4
    59        1  2.06091e-06   1.2965e-06     0.449088        2
    60        1  2.04593e-06  2.02834e-06     0.702586        2
    61        1  1.86379e-06   9.5954e-07      0.33237        2
    62        4  8.51596e-06  8.97606e-06      3.10917        3
    63        1  2.47196e-06            0            0        3
    64        1    1.522e-06  1.10433e-06     0.382523        2
    65        3  1.65825e-05  5.65786e-06      1.95979        3
    66        1  2.93032e-06  5.92995e-07     0.205404        3
    67        1  3.18361e-06            0            0        1
    68        1  4.36919e-06            0            0        2
    69        1  9.18245e-07  2.72579e-07    0.0944172        3
    70        3  5.75291e-06  3.28678e-06      1.13849        2
    71        3  5.39673e-06  6.15336e-06      2.13143        2
    72        1  5.42223e-07  1.92436e-07    0.0666568        3
    73        3  3.77827e-06  1.76998e-06     0.613095        5
    74        4  6.78239e-06  3.65645e-06      1.26654        6
    75        2  6.37337e-06  6.69138e-07     0.231779        2
    76      683    0.0247925  0.000625422      216.636       33
    77        2  5.21813e-06  7.33962e-07     0.254233        1
    78       16  0.000167966  5.89183e-05      20.4084        2
    79        3  1.59071e-05  2.25643e-06     0.781593        1
    80        3  1.03963e-05   1.6375e-06     0.567204        4
    81        2  7.41599e-06  1.14331e-06     0.396024        2
    82       20   7.9405e-05  2.02679e-05       7.0205        8
    83        2  4.27198e-06  4.06259e-06      1.40722        2
    84        7   1.8073e-05  1.10306e-05      3.82084        5
    85        1  4.82475e-06   2.4497e-07    0.0848537        1
    86        1  4.16637e-06  3.68497e-07     0.127642        1
    87        2  4.79521e-06  2.35838e-07    0.0816905        1
    88        1  1.83237e-06   2.1001e-07    0.0727444        2
    89        3  7.79488e-06   1.9009e-06     0.658443        3
    90        8  3.46895e-05  8.70964e-06      3.01688        3
    91        1  3.55893e-06  4.71187e-07     0.163212        2
    92        2  5.16563e-06  1.31821e-06     0.456608        1
    93        2  1.36958e-05  2.11268e-06     0.731801        1
    94       94  0.000347588  0.000207752      71.9622       23
    95        2  6.81473e-06   1.4212e-06     0.492281        3
    96        2  5.27941e-06  6.26265e-07     0.216928        2
    97        2   4.6155e-06  5.22386e-07     0.180946        2
    98        2  5.70816e-06  3.85915e-07     0.133675        2
    99        5  1.41397e-05  2.44855e-06      0.84814        3
   100        2  6.85047e-06  1.30626e-06     0.452468        2
   101        4  1.37746e-05  3.48036e-06      1.20554        5
   102       52   0.00022858  3.20943e-05       11.117       13
   103        2  3.37459e-06  1.45285e-06     0.503245        1
   104        1  3.01446e-06  7.61801e-07     0.263876        3
   105        1  6.91439e-06   2.9429e-07     0.101938        1
   106        1  8.80202e-06  2.24103e-06     0.776259        3
   107        1  1.12122e-05  1.21083e-06     0.419413        3
   108        7   7.5271e-05  2.04549e-05      7.08526        3
   109        1  4.19398e-06  4.87994e-07     0.169034        2
   110        1  3.67452e-06  6.74275e-07     0.233558        1
   111        5  1.85868e-05  3.80067e-06      1.31649        3
   112        1  3.06538e-06  3.32865e-07     0.115299        2
   113        3  5.26401e-06  1.80454e-06     0.625064        3
   114        7  1.08536e-05  1.31404e-05      4.55165        2
   115      122  0.000289589    0.0012323       426.85        6
   116        7   1.2347e-05  9.52236e-06       3.2984        3
   117       47  0.000369439  0.000130011      45.0336       10
   118     1316   0.00890833    0.0245579      8506.47       69
   119        4  6.85643e-06  1.21295e-05      4.20147        1
   120       16   3.0067e-05  8.11915e-05      28.1235        1
   121      255   0.00194614  0.000608348      210.722       34
   122     4298    0.0197115     0.107342      37181.8       34
   123        1  3.76595e-06  6.29229e-07     0.217955        3
